from;to;type;endDate
/faq/crear-campos-personalizables-en-el-carrito-por-api;https://help.vtex.com/tutorial/crear-campos-personalizables-en-el-carrito-por-api;permanent;
/tutorial/chaves-de-aplicacao--2iffYzlvvz4BDMr6WGUtet;https://help.vtex.com/pt/tutorial/chaves-de-api--4bFEmcHXgpNksoePchZyy6;permanent;
/tutorial/setting-up-pagbrasil-gateway--2vzj6MkFRuKm4KQAOOmWaa;https://help.vtex.com/en/tutorial/setting-up-payments-with-pagbrasilv2--5ONHAWmRbZpNIDPXCkNJXD;permanent;
/faq/como-borrar-coleccion;https://help.vtex.com/tutorial/como-borrar-coleccion;permanent;
v4/docs/gestao-de-anuncios--26VJ9h3EkYTzVKGYs00ujJ;tutorial/gerenciamento-de-anuncios--7MRb9S78aBdZjFGpbuffpE;permanent;
https://developers.vtex.com/vtex-rest-api/docs/how-to-add-and-handle-custom-information-in-the-order;https://developers.vtex.com/vtex-rest-api/docs/add-and-handle-custom-information-in-the-order;permanent;
https://docs.suiteshare.com/article/86-como-comecar;https://help.vtex.com/pt/tracks/suiteshare--khP0p8mjIYRIpvM7Cb4Zr/2JIhYGumvHRHI1WY5iMYN0;permanent;
/v4/docs/all-orders--6JHeydzIft46VY7JTEpbJT;https://help.vtex.com/pt/tutorial/todos-os-pedidos--2QTduKHAJMFIZ3BAsi6Pi;permanent;
/faq/contratar-ambiente-de-pruebas;https://help.vtex.com/tutorial/contratar-ambiente-de-pruebas;permanent;
/faq/que-es-el-usuario-master;https://help.vtex.com/tutorial/que-es-el-usuario-master;permanent;
/tutorial/comprar-em-nome-do-cliente-pelo-televendas--4gsnClNy1iUCkSK6y0GI2O;https://help.vtex.com/pt/tutorial/usando-e-customizando-toolbar-de-televendas--tutorials_5500;permanent;
/tutorial/como-funciona-a-integracao-com-a-b2w--7tF0PBIC5OgCuKqWKAa8Ge;https://help.vtex.com/pt/tracks/configurar-integracao-da-b2w--6w07SJBVqE020KIOOS8ygk/5hHCiAMHih2lc5xb3A5Ohp;permanent;
